	cosine_value	Similar_CEO_Names	Similar_CEO_User_Names
0	0.9708642462501498	Lauren Cook	laurencook
1	0.9646734048836266	Don Tapscott	dtapscott
2	0.9645328578606293	Phil Libin	plibin
3	0.9637100958356053	Sundar Pichai	sundarpichai
4	0.9630995837231642	Tom Hood	tomhood
5	0.9611627281970991	Joni Thomas Doolin	luckypenny
6	0.9418505512037675	Jason Byrne	jasonbyrne
7	0.9418097818359495	evÅk ad agency	evokadagency
8	0.9416743500407065	RobLane	RobLane
9	0.9416484709887111	Richard Jalichandra	jalichandra
10	0.9414814986337969	Bob Pritchett	BobPritchett
11	0.9414234668158893	Peter Bordes	PeterBordes
12	0.9413914322350843	Dwight Gibbs	DwightG
13	0.9413595286508404	Jason Keath	jasonkeath
14	0.9411464399048081	Helen Todd	helenstravels
15	0.9411378060200614	scotwingo	scotwingo
16	0.9411301493161297	Jason Kintzler	jasonkintzler
17	0.9411038507256138	Kira Wampler	Kirasw
18	0.9410794739382986	Ramit Sethi	ramit
19	0.9409253181170155	Kathy Calvin	Kathy_Calvin
20	0.9408985517354762	Rachel Levy	bostonmarketer
21	0.9408623888386476	kelkelly	kelkelly
22	0.9408623888386476	Jacquelyn Cyr	jacquelyncyr
23	0.9408089898584897	Brian Armstrong	brian_armstrong
24	0.9407623592692355	Steve Goldstein	stevengoldstein
25	0.940755940661853	Michael Hyatt	MichaelHyatt
26	0.9407503587516527	Joel Dehlin	JoelDehlin
27	0.9407298566447109	Kristina Halvorson	halvorson
28	0.9407247839643716	Jeremy Toeman	jtoeman
29	0.9407006081851359	Cassandra Bailey	cassapedia
