,tweet,name
0,Toronto real estate market sputters toward holiday season https://t.co/UQf2QIaW19,Miles S. Nadal
1,Why Prem Watsa sees value in Stelco https://t.co/nl8xr0oM7k,Miles S. Nadal
2,RT @Sports_Greats: There is a different between conceit &amp; confidence. Conceit is bragging. Confidence is believing you can get the job done…,Miles S. Nadal
3,RT @Sports_Greats: Don't be afraid of failure. This is the way to succeed. -Lebron James,Miles S. Nadal
4,RT @Sports_Greats: You and your opponent want the same thing. The only thing that matters is who works the hardest for it. -Unknown,Miles S. Nadal
5,RT @VaultraStorage: We are happy to announce we are working with Project SHARE in Niagara Falls this holiday season! When you come in pleas…,Miles S. Nadal
6,"Tech won't redeem itself in 2019, Salesforce CEO Marc Benioff says https://t.co/VC61huBFEy",Miles S. Nadal
7,https://t.co/ZqfpX2QqKh,Miles S. Nadal
8,Bob Bryan Waits in the Wings to Reunite With His Brother on the Tennis Court https://t.co/Wrg9qVLDZt,Miles S. Nadal
9,"He Was 302 Pounds, but in This Battle, He’s David and Not Goliath   via @NYTimes https://t.co/zjkB9N1gB8",Miles S. Nadal
10,Why I’m Giving $1.8 Billion for College Financial Aid   via @NYTimes https://t.co/3toRlAMK2N,Miles S. Nadal
11,Bloomberg donates record $1.8B to Johns Hopkins University https://t.co/Tsud0NpcIw,Miles S. Nadal
12,"RT @Sports_Greats: Winners don't wait for chances, they take them. -Unknown",Miles S. Nadal
13,RT @Forbes: https://t.co/Nd77TUPqrY,Miles S. Nadal
14,"RT @HarvardBiz: Think about something that makes you happy before going into a negotiation
https://t.co/MJ3qngaPZn",Miles S. Nadal
15,"RT @Sports_Greats: In order to excel, you must be completely dedicated. - Willie Mays",Miles S. Nadal
16,"The play Dear Evan Hansen , New York https://t.co/MHAfoIzYWc",Miles S. Nadal
17,The Most Powerful Woman in Investing Gives a Rare Interview  https://t.co/J3r1NfIdiQ,Miles S. Nadal
18,"RT @CNBC: Cutting back on Facebook or Snapchat will make you less depressed, a study has found. https://t.co/gRNakm5vBk",Miles S. Nadal
19,"RT @Sports_Greats: Take every practice, every game, like it's your last. -Kobe Bryant",Miles S. Nadal
20,RT @Sports_Greats: Nothing will work unless you do. -John Wooden,Miles S. Nadal
21,"RT @HarvardBiz: What do we know about how parents’ careers affect their children?
https://t.co/35qN8CnxM4",Miles S. Nadal
22,"RT @HarvardBiz: Sometimes being a follower is what makes a leader effective
https://t.co/zulSWwwRm6",Miles S. Nadal
23,RT @Sports_Greats: The difference between excellence and mediocrity is commitment.,Miles S. Nadal
24,Inside Amazon’s Jeff Bezos meteoric rise to riches https://t.co/Id8UGg1raZ,Miles S. Nadal
25,RT @Sports_Greats: It is better to be defeated on principle than to win on lies. -Arthur Calwell,Miles S. Nadal
26,RT @Sports_Greats: God gives talent. Work transforms talent into genius. -Anna Pavlova,Miles S. Nadal
27,RT @stephenharper: Excited to be in Sydney and Melbourne this week discussing https://t.co/AUlgpm8nsw and what political disruption means f…,Miles S. Nadal
28,"RT @CNBC: Legendary investor Warren Buffett says this investment will never lose its worth in your lifetime. via @CNBCMakeIt
 https://t.co/…",Miles S. Nadal
29,Landing Maple Leafs' William Nylander may take big Rangers piece https://t.co/Ap5FLDXhlm,Miles S. Nadal
30,RT @Sports_Greats: Pain is only temporary but victory is forever. -Jeremy H. Winning,Miles S. Nadal
31,"RT @Sports_Greats: Ain't no man can avoid being born average, but there ain't no man got to be common. -Satchel Paige",Miles S. Nadal
32,"RT @CNBC: A whopping 44% of Facebook users between 18-29 say they've deleted the app from their phone in the last year, a recent survey fou…",Miles S. Nadal
33,"RT @HarvardBiz: When people aren’t learning and growing, they can become bored, indifferent, and disengaged
https://t.co/pGRvwBllbb",Miles S. Nadal
34,RT @Sports_Greats: You can't get much done in life if you only work on the days when you feel good. -Jerry West,Miles S. Nadal
35,"RT @IanJamesPoulter: This never gets old... @RyderCupEurope team dinner at Nobu, ? 
Proud to have been with such a great bunch of guys to h…",Miles S. Nadal
36,"Amazon's HQ2 locations show just how far the suburbs have come, via @FinancialPost https://t.co/Z0z4h4YT4d",Miles S. Nadal
37,"Canada falling behind in the knowledge economy due to ‘outdated thinking’: Balsillie, via @FinancialPost  https://t.co/0EOMOPL4Q9",Miles S. Nadal
38,GE shares tumble after Goldman Sachs sounds alarm https://t.co/fJGih9pv5p,Miles S. Nadal
39,RT @Sports_Greats: Nothing in this world can take the place of persistence.,Miles S. Nadal
40,"RT @Sports_Greats: You'll forget — the wins &amp; losses
You'll forget — the halftime talks
You'll forget — the ups and downs
BUT YOU'LL NEVER…",Miles S. Nadal
41,Volkswagen plans ‘electric offensive’ against Tesla https://t.co/ntLSxyuLiC,Miles S. Nadal
42,"RT @inclusivecap: Don't be directive, be instructive. Think 'what are those events, what about human capital?' Given the heterogeneity in d…",Miles S. Nadal
43,"RT @inclusivecap: “Congratulations on this substantive, practical, actionable approach to mastering some of the most important but most elu…",Miles S. Nadal
44,"Dina Powell, Stacy Bash-Polley Feted as Goldman Women Hit Stage  https://t.co/SSPoc5afJj",Miles S. Nadal
45,RT @HarvardBiz: The Benefits of Laughing in the Office https://t.co/1sBLocjLIb,Miles S. Nadal
46,?@PeerageCapital? ?@PeerageRealty? ?@chestnutpark? The first Peerage Capital development. The new home of Chestnut… https://t.co/iB0C1TVSr6,Miles S. Nadal
47,Harvard Thinks It’s Found the Next Einstein — and She’s 23 - clopensets https://t.co/gM5f5lkVNK,Miles S. Nadal
48,RT @JKCorden: Holy shit. This commercial. https://t.co/aXewAG5C3i,Miles S. Nadal
49,"RT @TheStreet: REWIND: During our last #CramerTeachin, @JimCramer may have mentioned that he thought $NVDA would miss last night. Here's ho…",Miles S. Nadal
50,"RT @keithmcarthur: “Unless commitment is made, there are only promises and hopes, but no plans.” — Peter F. Drucker",Miles S. Nadal
51,RT @HarvardBiz: How to Work for a Boss Who Has a New Idea Every 5 Minutes https://t.co/kxEssrnNAj,Miles S. Nadal
52,RT @CNBC: Amazon CEO Jeff Bezos shares the career advice he gives his kids. via @CNBCMakeIt https://t.co/AYtBuiXVEj,Miles S. Nadal
53,"RT @Sports_Greats: If what you have done yesterday still looks big to you, you haven't done much today. -Mike Krzyzewski",Miles S. Nadal
54,"RT @Sports_Greats: You don't win once in a while, you don't do things right once in a while, you do them right all the time. Winning is hab…",Miles S. Nadal
55,RT @Sports_Greats: Winning as a team is better than anything. It's great to share success. -Jim Harbaugh,Miles S. Nadal
56,"RT @HarvardBiz: Netflix has more subscribers than all other pure streaming services combined
https://t.co/orsM0nKu7T",Miles S. Nadal
57,RT @Sports_Greats: I can accept failure. Everyone fails at something. But I can't accept not trying. -Michael Jordan,Miles S. Nadal
58,"RT @Sports_Greats: We all have dreams. But in order 2 make dreams into reality, it takes an awful lot of determination, dedication, &amp; disci…",Miles S. Nadal
59,"RT @HarvardBiz: Why “don’t be a follower” is bad advice for leaders
https://t.co/BcX9ud3sR2",Miles S. Nadal
60,RT @LindaFrum: My speech on rushed Liberal election bill C-76 can be read in its entirety here https://t.co/2O2YSUiwmF. Meantime here is ye…,Miles S. Nadal
61,"RT @Sports_Greats: ? Without dreams
? We reach nothing.
? Without love.
? We feel nothing.
? Without God.
? We are nothing.",Miles S. Nadal
62,Billionaire Lewis's Hockney Fetches Record $90.3 Million  https://t.co/H43qEUE7To,Miles S. Nadal
63,"When It Comes to Stock Performance, Family Matters  https://t.co/kyzOiRGm1Y",Miles S. Nadal
